State,County,Total Equip Quantity,Total Cost,Mil Equip Quantity,Total Mil Cost
AK,ANCHORAGE,1063,636550.09,130.0,521602.23
AK,BETHEL,2,0.0,0.0,0.0
AK,FAIRBANKS NORTH STAR,18,26624.67,15.0,7485.0
AK,JUNEAU,14,5542.0,14.0,5542.0
AK,KETCHIKAN GATEWAY,4,1996.0,4.0,1996.0
AK,KODIAK ISLAND,5,690.0,5.0,690.0
AK,MATANUSKA SUSITNA,4,552.0,4.0,552.0
AL,AUTAUGA,111,177423.83000000002,7.0,161125.0
AL,BALDWIN,738,453213.45,90.0,233819.86
AL,BARBOUR,48,111230.0,14.0,104012.0
AL,BIBB,30,39047.72,30.0,39047.72
AL,BLOUNT,7850,2472033.03,106.0,761150.45
AL,BULLOCK,1,25000.0,1.0,25000.0
AL,BUTLER,390,288251.41,22.0,265950.0
AL,CALHOUN,14322,12435577.32,430.0,3053177.13
AL,CHAMBERS,300,307582.69,15.0,53468.69
AL,CHEROKEE,30646,7194469.59,160.0,1852186.33
AL,CHILTON,2607,2550995.53,78.0,1823587.52
AL,CHOCTAW,205,1083149.0,17.0,108769.0
AL,CLARKE,95,1903595.79,18.0,526163.0
AL,CLEBURNE,148,389672.76,14.0,53754.0
AL,COFFEE,104,355031.79,20.0,290798.0
AL,COLBERT,875,692253.49,86.0,413289.1
AL,CONECUH,13,921.8100000000001,2.0,276.0
AL,COOSA,13,27219.0,1.0,25000.0
AL,COVINGTON,2360,1793320.76,41.0,816740.6
AL,CRENSHAW,3,25276.0,3.0,25276.0
AL,CULLMAN,9400,5788789.29,153.0,1450110.95
AL,DALE,480,906437.92,48.0,675409.46
AL,DALLAS,103,74700.2,72.0,63526.0
AL,DE KALB,294,348579.42,14.0,249314.89
AL,ELMORE,151,914591.91,29.0,507660.6
AL,ESCAMBIA,51,611833.13,18.0,70677.9
AL,ETOWAH,3988,12194653.62,140.0,2192378.29
AL,FAYETTE,2,998.0,2.0,998.0
AL,FRANKLIN,599,2432454.67,69.0,378714.69
AL,GENEVA,15,185127.11,9.0,125552.0
AL,HALE,10,10341.0,0.0,0.0
AL,HENRY,327,1212457.31,17.0,324703.94
AL,HOUSTON,351,176004.75,56.0,128119.65
AL,JACKSON,14,53663.42,12.0,53546.0
AL,JEFFERSON,61624,25605328.83,1407.0,6015797.3
AL,LAUDERDALE,1125,328144.98,78.0,143231.21
AL,LAWRENCE,42,325239.36,7.0,41069.0
AL,LEE,29,166117.72,27.0,142486.0
AL,LIMESTONE,20,2760.0,20.0,2760.0
AL,LOWNDES,2,25499.0,2.0,25499.0
AL,MACON,1,47069.0,1.0,47069.0
AL,MADISON,148,987744.75,83.0,893408.0
AL,MARENGO,4,393.42,2.0,276.0
AL,MARION,8,78209.21,7.0,76996.0
AL,MARSHALL,12620,7735504.04,152.0,1416663.84
AL,MOBILE,4069,2589151.39,627.0,1340229.73
AL,MONTGOMERY,2588,3320510.42,365.0,2357644.38
AL,MORGAN,653,3138482.2199999997,30.0,1085025.0
AL,PERRY,23,129418.0,2.0,50000.0
AL,PICKENS,2423,1226319.25,64.0,186897.33000000002
AL,PIKE,1,323178.0,0.0,0.0
AL,RANDOLPH,182,6228.81,0.0,0.0
AL,RUSSELL,30,2950.65,15.0,2070.0
AL,ST CLAIR,3755,5324249.2299999995,95.0,1040197.84
AL,SHELBY,4920,2860496.9699999997,130.0,674443.1900000001
AL,TALLADEGA,2604,571546.72,30.0,199376.95
AL,TALLAPOOSA,167,15390.76,20.0,2404.6
