State,County,Ship Date,Mil Equip Quantity,Total Mil Cost
AK,ANCHORAGE,2009-12-04 00:00:00,5,225.23
AK,ANCHORAGE,2011-12-16 00:00:00,1,460000.0
AK,ANCHORAGE,2012-08-30 00:00:00,123,61377.0
AK,ANCHORAGE,2014-02-25 00:00:00,1,0.0
AK,FAIRBANKS NORTH STAR,2006-05-19 00:00:00,15,7485.0
AK,JUNEAU,2006-05-19 00:00:00,14,5542.0
AK,KETCHIKAN GATEWAY,2006-05-19 00:00:00,4,1996.0
AK,KODIAK ISLAND,2006-05-19 00:00:00,5,690.0
AK,MATANUSKA SUSITNA,2007-05-07 00:00:00,4,552.0
AL,AUTAUGA,2006-11-06 00:00:00,4,1996.0
AL,AUTAUGA,2013-10-01 00:00:00,1,60409.0
AL,AUTAUGA,2013-12-17 00:00:00,1,39158.0
AL,AUTAUGA,2014-02-13 00:00:00,1,59562.0
AL,BALDWIN,2006-04-26 00:00:00,4,1996.0
AL,BALDWIN,2006-11-13 00:00:00,2,998.0
AL,BALDWIN,2006-11-16 00:00:00,10,1380.0
AL,BALDWIN,2007-09-05 00:00:00,7,966.0
AL,BALDWIN,2009-02-26 00:00:00,9,1080.0
AL,BALDWIN,2010-01-29 00:00:00,1,4994.0
AL,BALDWIN,2010-03-10 00:00:00,7,25046.0
AL,BALDWIN,2010-05-01 00:00:00,7,2136.0
AL,BALDWIN,2010-05-05 00:00:00,4,912.86
AL,BALDWIN,2011-03-11 00:00:00,25,3000.0
AL,BALDWIN,2012-04-18 00:00:00,1,25000.0
AL,BALDWIN,2013-12-19 00:00:00,1,60409.0
AL,BALDWIN,2013-12-20 00:00:00,3,35622.0
AL,BALDWIN,2014-01-14 00:00:00,9,70280.0
AL,BARBOUR,2006-11-07 00:00:00,10,4990.0
AL,BARBOUR,2012-02-15 00:00:00,1,4300.0
AL,BARBOUR,2012-05-17 00:00:00,2,69722.0
AL,BARBOUR,2012-06-01 00:00:00,1,25000.0
AL,BIBB,2006-11-06 00:00:00,4,1996.0
AL,BIBB,2006-11-07 00:00:00,4,1996.0
AL,BIBB,2007-05-25 00:00:00,6,21468.0
AL,BIBB,2007-09-05 00:00:00,2,276.0
AL,BIBB,2007-10-11 00:00:00,14,13311.72
AL,BLOUNT,2006-05-04 00:00:00,2,276.0
AL,BLOUNT,2006-11-06 00:00:00,2,998.0
AL,BLOUNT,2006-11-07 00:00:00,1,138.0
AL,BLOUNT,2012-02-16 00:00:00,2,50000.0
AL,BLOUNT,2012-02-27 00:00:00,1,25000.0
AL,BLOUNT,2012-03-01 00:00:00,4,100000.0
AL,BLOUNT,2012-03-17 00:00:00,1,15730.0
AL,BLOUNT,2012-03-28 00:00:00,1,25000.0
AL,BLOUNT,2012-03-30 00:00:00,4,826.0
AL,BLOUNT,2012-04-12 00:00:00,5,28250.0
AL,BLOUNT,2012-04-16 00:00:00,3,826.0
AL,BLOUNT,2012-04-18 00:00:00,1,47989.0
AL,BLOUNT,2012-05-03 00:00:00,60,25.69
AL,BLOUNT,2012-05-14 00:00:00,1,47989.0
AL,BLOUNT,2012-05-15 00:00:00,16,102.76
AL,BLOUNT,2012-07-13 00:00:00,1,6000.0
AL,BLOUNT,2013-10-07 00:00:00,1,412000.0
AL,BULLOCK,2013-04-02 00:00:00,1,25000.0
AL,BUTLER,2006-12-06 00:00:00,8,3992.0
AL,BUTLER,2011-10-20 00:00:00,1,47989.0
AL,BUTLER,2011-11-01 00:00:00,1,25000.0
AL,BUTLER,2012-01-18 00:00:00,1,44722.0
AL,BUTLER,2012-02-04 00:00:00,2,50000.0
AL,BUTLER,2012-02-07 00:00:00,1,25000.0
AL,BUTLER,2012-03-07 00:00:00,1,41253.0
AL,BUTLER,2012-04-16 00:00:00,1,25000.0
AL,BUTLER,2012-12-12 00:00:00,6,2994.0
AL,CALHOUN,2006-04-18 00:00:00,6,1911.0
AL,CALHOUN,2006-11-06 00:00:00,18,6816.0
AL,CALHOUN,2006-11-08 00:00:00,2,998.0
AL,CALHOUN,2008-05-28 00:00:00,10,1200.0
