Unique ID,Date of injury resulting in death (month/day/year),City,State,Zip Code,County,Latitude,Longitude,Agency responsible for death,Cause of death,Intentional Use of Force (Developing),Date (Year)
25746,01/01/2000,Willits,CA,95490.0,MENDOCINO,39.4708829,-123.3617513,Mendocino County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
25747,01/01/2000,Detroit,MI,48203.0,WAYNE,42.4045258,-83.0922741,,Vehicle,Vehicle/Pursuit,2000.0
25748,01/01/2000,Detroit,MI,48203.0,WAYNE,42.4045258,-83.0922741,,Vehicle,Vehicle/Pursuit,2000.0
25749,01/01/2000,Carlsbad,NM,88220.0,EDDY,32.4500798,-104.2376427,Eddy County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
2,01/02/2000,Ellenwood,GA,30294.0,DE KALB,33.645164,-84.2294129,DeKalb County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
1,01/02/2000,Sacramento,CA,95823.0,SACRAMENTO,38.4739487,-121.4337757,Sacramento Police Department,Vehicle,Vehicle/Pursuit,2000.0
25750,01/02/2000,Kinston,NC,28501.0,LENOIR,35.271507,-77.587332,Kinston Police Department,Vehicle,Vehicle/Pursuit,2000.0
25751,01/02/2000,Kinston,NC,28501.0,LENOIR,35.271507,-77.587332,Kinston Police Department,Vehicle,Vehicle/Pursuit,2000.0
25752,01/03/2000,Baltimore,MD,21201.0,BALTIMORE CITY,39.2939891,-76.6182034,Baltimore Police Department,Vehicle,Vehicle/Pursuit,2000.0
25753,01/03/2000,Baltimore,MD,21201.0,BALTIMORE CITY,39.2939891,-76.6182034,Baltimore Police Department,Vehicle,Vehicle/Pursuit,2000.0
19512,01/03/2000,Uniontown,PA,15401.0,FAYETTE,39.8944106,-79.7186111,Uniontown Police Department,Gunshot,Suicide,2000.0
5,01/05/2000,Atlanta,GA,30303.0,FULTON,33.7527031,-84.3811976,Atlanta Police Department,Beaten/Bludgeoned with instrument,Yes,2000.0
3,01/05/2000,Pontiac,IL,61764.0,LIVINGSTON,40.8736874,-88.6428061,Bloomington Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
4,01/05/2000,Dothan,AL,,HOUSTON,31.2232313,-85.3904888,Dothan Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
22610,01/05/2000,Memphis,TN,38118.0,SHELBY,35.0205432,-89.8980502,Memphis Police Department,Vehicle,Vehicle/Pursuit,2000.0
22611,01/05/2000,Memphis,TN,38118.0,SHELBY,35.0205432,-89.8980502,Memphis Police Department,Vehicle,Vehicle/Pursuit,2000.0
25754,01/05/2000,White Springs,FL,32096.0,HAMILTON,30.367324,-82.855828,Suwannee County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
6,01/06/2000,York,NE,68467.0,YORK,40.8768273,-97.5958161,York Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
22260,01/06/2000,Virginia Beach,VA,23462.0,VIRGINIA BEACH,36.8457224,-76.1733016,"Norfolk Police Department, Virginia State Police",Gunshot,Suicide,2000.0
7,01/06/2000,Charlotte,NC,28208.0,MECKLENBURG,35.2390502,-80.9183189,"North Carolina State Highway Patrol, Charlotte-Mecklenburg Police Department",Gunshot,"Intentional Use of Force, Deadly",2000.0
8,01/06/2000,Muscoy,CA,92407.0,SAN BERNARDINO,34.1579411,-117.3616521,"San Bernardino Police Department, San Bernardino County Sheriff's Office",Gunshot,"Intentional Use of Force, Deadly",2000.0
20792,01/06/2000,Eastpointe,MI,48021.0,MACOMB,42.4721718,-82.9569336,Eastpointe Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
22241,01/07/2000,Mechanicsville,VA,23116.0,HANOVER,37.663599,-77.4102848,Hanover County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
9,01/07/2000,Lucasville,OH,45648.0,SCIOTO,38.9106485,-82.92493,Scioto County Sheriff's Office,Gunshot,Suicide,2000.0
10,01/07/2000,Downey,CA,90242.0,LOS ANGELES,33.9156779,-118.1250809,Downey Police Department,Beaten/Bludgeoned with instrument,Yes,2000.0
22243,01/08/2000,Hayes,VA,23072.0,GLOUCESTER,37.2877287,-76.4368243,"Gloucester County Sheriff's Office, Virginia State Police",Gunshot,"Intentional Use of Force, Deadly",2000.0
22242,01/08/2000,Hayes,VA,23072.0,GLOUCESTER,37.2877287,-76.4368243,"Gloucester County Sheriff's Office, Virginia State Police",Gunshot,Suicide,2000.0
11,01/09/2000,Savannah,GA,31406.0,CHATHAM,31.98979,-81.076158,Savannah-Chatham Metropolitan Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
12,01/09/2000,Salt Lake City,UT,84105.0,SALT LAKE,40.7335115,-111.8712754,Salt Lake City Police Department,Vehicle,Vehicle/Pursuit,2000.0
13,01/09/2000,Moreno Valley,CA,92553.0,RIVERSIDE,33.9250804,-117.2497956,Riverside County Sheriff's Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25755,01/09/2000,West Columbia,SC,29172.0,LEXINGTON,33.8865613,-81.0512613,Lexington County Sheriff's Department,Vehicle,Vehicle/Pursuit,2000.0
14,01/10/2000,Bala Cynwyd,PA,19131.0,PHILADELPHIA,40.0001546,-75.2287372,Lower Merion Township Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
19347,01/10/2000,Philadelphia,PA,19142.0,PHILADELPHIA,39.919103,-75.234483,Philadelphia Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
19348,01/10/2000,Penn Hills,PA,15235.0,ALLEGHENY,40.4897123,-79.7954856,Penn Hills Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25756,01/10/2000,Oakland Park,FL,33334.0,BROWARD,26.1888199,-80.1338411,Oakland Park Police Department,Vehicle,Vehicle/Pursuit,2000.0
15,01/11/2000,Tampa,FL,33612.0,HILLSBOROUGH,28.0660332,-82.4361586,Hillsborough County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
16,01/11/2000,Midwest City,OK,73110.0,OKLAHOMA,35.4496763,-97.3884482,Midwest City Police Department,Vehicle,Vehicle/Pursuit,2000.0
21360,01/12/2000,Clifton,NJ,7011.0,PASSAIC,40.8927647,-74.1319391,Clifton Police Department,Gunshot,Suicide,2000.0
17,01/12/2000,Garland,TX,75042.0,DALLAS,32.9187447,-96.6522267,Garland Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
21446,01/12/2000,Baltimore,MD,21201.0,BALTIMORE CITY,39.2912393,-76.6307632,Baltimore Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
19,01/13/2000,Phoenix,AZ,85009.0,MARICOPA,33.476923,-112.111356,U.S. Federal Bureau of Investigation,Gunshot,"Intentional Use of Force, Deadly",2000.0
18,01/13/2000,Jackson,MS,39211.0,HINDS,32.3557899,-90.1419362,Jackson Police Department,Vehicle,Vehicle/Pursuit,2000.0
21,01/14/2000,Colby,KS,67701.0,THOMAS,39.3649589,-101.0524,Colby Police Department,Gunshot,Suicide,2000.0
20,01/14/2000,Modesto,CA,95350.0,STANISLAUS,37.6686407,-120.9916252,Modesto Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
22,01/15/2000,North Tustin,CA,92705.0,ORANGE,33.7599836,-117.7923329,"California Highway Patrol, Los Angeles Police Department",Gunshot,"Intentional Use of Force, Deadly",2000.0
19349,01/16/2000,West Bradford Township,PA,19380.0,CHESTER,39.9516357,-75.7251677,Pennsylvania State Police,Gunshot,"Intentional Use of Force, Deadly",2000.0
22244,01/16/2000,Richmond,VA,23227.0,HENRICO,37.6056675,-77.4267315,Henrico County Division of Police,Gunshot,Suicide,2000.0
25,01/17/2000,Astoria,NY,11102.0,QUEENS,40.7684716,-73.9184722,City of New York Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
23,01/17/2000,Reno,NV,89501.0,WASHOE,39.5277048,-119.8074243,Reno Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
24,01/17/2000,Joliet,IL,60433.0,WILL,41.5138667,-88.0727955,Joliet Police Department,Vehicle,Vehicle/Pursuit,2000.0
26,01/19/2000,Atlanta,GA,30354.0,FULTON,33.6727766,-84.385959,Atlanta Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
27,01/20/2000,Phoenix,AZ,85032.0,MARICOPA,33.6407755,-111.9961723,"Arizona Department of Public Safety, Phoenix Police Department",Gunshot,"Intentional Use of Force, Deadly",2000.0
25757,01/20/2000,Cleveland,OH,44110.0,CUYAHOGA,41.55794,-81.579288,Cleveland Police Department,Vehicle,Vehicle/Pursuit,2000.0
29,01/21/2000,Sumner,ME,4292.0,OXFORD,44.3660924,-70.4222002,Oxford County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
28,01/21/2000,Kansas City,MO,64151.0,PLATTE,39.2210388,-94.634497,Kansas City Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
30,01/22/2000,Benton,AR,72019.0,SALINE,34.6066939,-92.5340676,Bryant Police Department,Vehicle,Vehicle/Pursuit,2000.0
31,01/22/2000,Phoenix,AZ,85023.0,MARICOPA,33.641526,-112.089133,Phoenix Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25758,01/23/2000,Raynham,MA,2767.0,BRISTOL,41.98541,-71.0706608,Taunton Police Department,Vehicle,Vehicle/Pursuit,2000.0
25759,01/23/2000,Raynham,MA,2767.0,BRISTOL,41.98541,-71.0706608,Taunton Police Department,Vehicle,Vehicle/Pursuit,2000.0
19350,01/25/2000,Philadelphia,PA,19150.0,PHILADELPHIA,40.078127,-75.17747,Philadelphia Police Department,Gunshot,"Intenional Use of Force, Deadly",2000.0
25760,01/26/2000,San Antonio,TX,78251.0,BEXAR,29.4551552,-98.6340545,Bexar County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
32,01/26/2000,Columbus,OH,43207.0,FRANKLIN,39.9313393,-82.9958454,Columbus Division of Police,Gunshot,"Intentional Use of Force, Deadly",2000.0
33,01/27/2000,Albuquerque,NM,87109.0,BERNALILLO,35.1527206,-106.5880844,Albuquerque Police Department,Vehicle,Vehicle/Pursuit,2000.0
37,01/28/2000,Jersey City,NJ,7305.0,HUDSON,40.7036602,-74.0781321,Jersey City Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
20793,01/28/2000,Waterford Township,MI,48328.0,OAKLAND,42.6531091,-83.385851,Waterford Township Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
34,01/28/2000,Waiʻanae,HI,96792.0,HONOLULU,21.378312,-158.143267,Honolulu Police Department,Gunshot,Suicide,2000.0
35,01/28/2000,Arnold,MO,63010.0,JEFFERSON,38.4370563,-90.3738351,Jefferson County Sheriff's Office,Gunshot,Suicide,2000.0
38,01/28/2000,Oakland,CA,94621.0,ALAMEDA,37.7556261,-122.1674199,Oakland Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
36,01/28/2000,Providence,RI,2909.0,PROVIDENCE,41.8242783,-71.4398076,Providence Police Department,Gunshot,"Intenional Use of Force, Deadly",2000.0
39,01/29/2000,Grand Island,NE,68801.0,HALL,40.9091366,-98.3440391,Grand Island Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
41,01/29/2000,San Diego,CA,92114.0,SAN DIEGO,32.7266073,-117.0717535,San Diego Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
40,01/29/2000,Little,OK,74868.0,SEMINOLE,35.3481286,-96.6719618,"U.S. Bureau of Indian Affairs, Seminole Nation Police Department",Gunshot,"Intentional Use of Force, Deadly",2000.0
42,01/29/2000,Phoenix,AZ,85033.0,MARICOPA,33.4937769,-112.2139384,Phoenix Police Department,Gunshot,"Intenional Use of Force, Deadly",2000.0
19352,01/30/2000,Philadelphia,PA,19152.0,PHILADELPHIA,40.0549579,-75.0539796,Philadelphia Police Department,Vehicle,Vehicle/Pursuit,2000.0
