State,County,Ship Date,Total Equip Quantity,Total Cost
AK,ANCHORAGE,2009-01-07 00:00:00,20,206.08
AK,ANCHORAGE,2009-05-27 00:00:00,18,28.81
AK,ANCHORAGE,2009-12-04 00:00:00,5,225.23
AK,ANCHORAGE,2010-02-18 00:00:00,3,342.0
AK,ANCHORAGE,2010-07-15 00:00:00,20,656.0
AK,ANCHORAGE,2010-07-16 00:00:00,13,438.75
AK,ANCHORAGE,2010-07-27 00:00:00,2,66.55
AK,ANCHORAGE,2010-09-20 00:00:00,1,86.0
AK,ANCHORAGE,2010-10-05 00:00:00,1,340.0
AK,ANCHORAGE,2010-10-29 00:00:00,3,328.0
AK,ANCHORAGE,2010-12-03 00:00:00,4,924.05
AK,ANCHORAGE,2010-12-14 00:00:00,3,41.67
AK,ANCHORAGE,2010-12-29 00:00:00,8,1030.0
AK,ANCHORAGE,2011-01-06 00:00:00,3,1030.0
AK,ANCHORAGE,2011-02-01 00:00:00,2,668.0
AK,ANCHORAGE,2011-06-09 00:00:00,8,340.0
AK,ANCHORAGE,2011-09-03 00:00:00,5,146.25
AK,ANCHORAGE,2011-10-28 00:00:00,58,2255.0
AK,ANCHORAGE,2011-12-16 00:00:00,1,460000.0
AK,ANCHORAGE,2011-12-22 00:00:00,28,2064.13
AK,ANCHORAGE,2012-01-05 00:00:00,24,370.74
AK,ANCHORAGE,2012-01-23 00:00:00,62,6054.85
AK,ANCHORAGE,2012-02-02 00:00:00,31,76.76
AK,ANCHORAGE,2012-02-08 00:00:00,20,66.08
AK,ANCHORAGE,2012-02-09 00:00:00,39,487.49
AK,ANCHORAGE,2012-02-10 00:00:00,44,1406.65
AK,ANCHORAGE,2012-02-15 00:00:00,1,225.0
AK,ANCHORAGE,2012-02-24 00:00:00,4,1395.1999999999998
AK,ANCHORAGE,2012-03-16 00:00:00,5,5926.0
AK,ANCHORAGE,2012-04-06 00:00:00,1,300.0
AK,ANCHORAGE,2012-04-09 00:00:00,15,37.19
AK,ANCHORAGE,2012-04-10 00:00:00,2,5886.0
AK,ANCHORAGE,2012-04-23 00:00:00,1,10000.0
AK,ANCHORAGE,2012-05-08 00:00:00,1,27952.0
AK,ANCHORAGE,2012-05-24 00:00:00,1,10000.0
AK,ANCHORAGE,2012-05-29 00:00:00,35,452.72999999999996
AK,ANCHORAGE,2012-06-01 00:00:00,1,6761.95
AK,ANCHORAGE,2012-06-05 00:00:00,28,60.45
AK,ANCHORAGE,2012-06-06 00:00:00,3,27.46
AK,ANCHORAGE,2012-06-14 00:00:00,12,210.0
AK,ANCHORAGE,2012-06-15 00:00:00,1,5965.98
AK,ANCHORAGE,2012-06-21 00:00:00,11,191.14999999999998
AK,ANCHORAGE,2012-07-02 00:00:00,50,3951.07
AK,ANCHORAGE,2012-07-03 00:00:00,50,3951.07
AK,ANCHORAGE,2012-07-09 00:00:00,40,200.31
AK,ANCHORAGE,2012-07-19 00:00:00,2,5000.0
AK,ANCHORAGE,2012-07-25 00:00:00,45,300.31
AK,ANCHORAGE,2012-08-03 00:00:00,1,649.2
AK,ANCHORAGE,2012-08-07 00:00:00,8,125.0
AK,ANCHORAGE,2012-08-10 00:00:00,67,4997.62
AK,ANCHORAGE,2012-08-30 00:00:00,123,61377.0
AK,ANCHORAGE,2012-10-10 00:00:00,91,369.55
AK,ANCHORAGE,2014-02-06 00:00:00,2,0.0
AK,ANCHORAGE,2014-02-25 00:00:00,1,0.0
AK,ANCHORAGE,2014-04-11 00:00:00,20,10.17
AK,ANCHORAGE,2014-04-17 00:00:00,15,548.59
AK,BETHEL,2014-03-14 00:00:00,2,0.0
AK,FAIRBANKS NORTH STAR,2006-05-19 00:00:00,15,7485.0
AK,FAIRBANKS NORTH STAR,2010-09-28 00:00:00,2,100.0
AK,FAIRBANKS NORTH STAR,2012-03-14 00:00:00,1,19039.67
AK,JUNEAU,2006-05-19 00:00:00,14,5542.0
AK,KETCHIKAN GATEWAY,2006-05-19 00:00:00,4,1996.0
AK,KODIAK ISLAND,2006-05-19 00:00:00,5,690.0
AK,MATANUSKA SUSITNA,2007-05-07 00:00:00,4,552.0
AL,AUTAUGA,2006-11-06 00:00:00,4,1996.0
AL,AUTAUGA,2013-04-19 00:00:00,4,125.0
AL,AUTAUGA,2013-04-30 00:00:00,3,290.0
AL,AUTAUGA,2013-05-21 00:00:00,3,1100.0
AL,AUTAUGA,2013-05-28 00:00:00,2,75.0
AL,AUTAUGA,2013-09-12 00:00:00,14,0.0
AL,AUTAUGA,2013-09-19 00:00:00,1,0.0
AL,AUTAUGA,2013-10-01 00:00:00,1,60409.0
AL,AUTAUGA,2013-12-17 00:00:00,9,39158.0
AL,AUTAUGA,2013-12-27 00:00:00,35,0.0
AL,AUTAUGA,2014-01-06 00:00:00,3,0.0
AL,AUTAUGA,2014-01-09 00:00:00,1,563.83
AL,AUTAUGA,2014-01-21 00:00:00,10,340.0
AL,AUTAUGA,2014-01-23 00:00:00,10,0.0
AL,AUTAUGA,2014-02-05 00:00:00,9,1805.0
AL,AUTAUGA,2014-02-13 00:00:00,1,59562.0
AL,AUTAUGA,2014-04-08 14:45:57,1,12000.0
AL,BALDWIN,2006-04-26 00:00:00,4,1996.0
AL,BALDWIN,2006-11-08 00:00:00,24,1409.04
AL,BALDWIN,2006-11-13 00:00:00,2,998.0
AL,BALDWIN,2006-11-16 00:00:00,10,1380.0
AL,BALDWIN,2007-09-05 00:00:00,7,966.0
AL,BALDWIN,2009-02-26 00:00:00,9,1080.0
AL,BALDWIN,2009-03-17 00:00:00,5,442.0
AL,BALDWIN,2009-06-02 00:00:00,13,4424.0599999999995
AL,BALDWIN,2009-06-10 00:00:00,84,4670.88
AL,BALDWIN,2009-06-24 00:00:00,1,41.0
AL,BALDWIN,2009-06-25 00:00:00,37,328.0
AL,BALDWIN,2009-07-23 00:00:00,9,1714.35
AL,BALDWIN,2009-09-17 00:00:00,9,2250.0
AL,BALDWIN,2009-09-22 00:00:00,24,2662.7
AL,BALDWIN,2009-10-05 00:00:00,2,826.0
AL,BALDWIN,2009-10-18 00:00:00,3,408.0
AL,BALDWIN,2009-11-12 00:00:00,3,520.83
AL,BALDWIN,2009-12-02 00:00:00,1,0.0
AL,BALDWIN,2009-12-03 00:00:00,1,2250.0
AL,BALDWIN,2009-12-04 00:00:00,6,7834.78
AL,BALDWIN,2009-12-09 00:00:00,3,24.92
AL,BALDWIN,2009-12-10 00:00:00,9,342.0
AL,BALDWIN,2009-12-11 00:00:00,5,60.0
AL,BALDWIN,2009-12-15 00:00:00,41,2739.38
AL,BALDWIN,2009-12-30 00:00:00,4,4000.0
AL,BALDWIN,2010-01-01 00:00:00,6,2559.38
